98f26a02c2da47a499e9e45a8ad1cd9f: dataset=wiki_192; epochs=100; batch_size=500; ds_max_size=30000;
ae31177f86884fc5b377b93252568a4d: dataset=wiki_128; epochs=100; batch_size=500; ds_max_size=30000;
4c525fb573a34f24ba352adae4a5da3a: dataset=wiki_256; epochs=100; batch_size=500; ds_max_size=30000;
e6e1b26ecfce46b1b52f2c133cb6df2e: dataset=wiki_rand_iv_192; epochs=100; batch_size=500; ds_max_size=30000;
7a86e7c1ede6413bbd9dead1d1915f9e: dataset=wiki_rand_iv_256; epochs=100; batch_size=500; ds_max_size=30000;
1baa729f819347a7941456c83956f3a3: dataset=wiki_rand_iv_128; epochs=100; batch_size=500; ds_max_size=30000;
75a66c28747a41b7a0a14bb54f390968: model=lstm; dataset=wiki_256; epochs=500; batch_size=500; ds_max_size=30000;
545c3b9acf1a4899923b8ff5f0daac4d: model=lstm; dataset=wiki_128; epochs=500; batch_size=500; ds_max_size=30000;
310e2fe6c2284ae9a7c1155e4107db78: model=lstm; dataset=wiki_192; epochs=500; batch_size=500; ds_max_size=30000;
6e37c4a809b84563951351a8dd36751b: model=lstm; dataset=wiki_rand_iv_128; epochs=500; batch_size=500; ds_max_size=30000;
7d2a948110734f759078aa821ef069a4: model=gru; dataset=wiki_128; epochs=500; batch_size=500; ds_max_size=30000;
e78c6d50825c4be1a3906221e46a582c: model=lstm; dataset=wiki_rand_iv_192; epochs=500; batch_size=500; ds_max_size=30000;
9ac26d2b26be4372835d2b7c74856037: model=gru; dataset=wiki_192; epochs=500; batch_size=500; ds_max_size=30000;
26d54ef451464f4cb25786a462fd3b23: model=lstm; dataset=wiki_rand_iv_256; epochs=500; batch_size=500; ds_max_size=30000;
fbe0f33792b84724ba30d6f1fd6b79a3: model=gru; dataset=wiki_rand_iv_128; epochs=500; batch_size=500; ds_max_size=30000;
f189e0ecebc3456a976b47dab0d4171f: model=gru; dataset=wiki_rand_iv_256; epochs=500; batch_size=500; ds_max_size=30000;
372d875266ae4be0926a2f2098692bc0: model=gru; dataset=wiki_256; epochs=500; batch_size=500; ds_max_size=30000;
da639c104f814800893787fdc4ff5db3: model=gru; dataset=wiki_rand_iv_192; epochs=500; batch_size=500; ds_max_size=30000;
821b9002d3fa418985f6cb782d964d81: model=rnn; dataset=wiki_128; epochs=500; batch_size=500; ds_max_size=30000;
4d4e1fd861624323a7d1dd37df80d164: model=rnn; dataset=wiki_256; epochs=500; batch_size=500; ds_max_size=30000;
0d54ae10b9b84f7388aa8fb3a05b757f: model=rnn; dataset=wiki_192; epochs=500; batch_size=500; ds_max_size=30000;
f29b932beb464f00be59641c21361f8b: model=rnn; dataset=wiki_rand_iv_128; epochs=500; batch_size=500; ds_max_size=30000;
637c88004354412cb6281271d45b947d: model=rnn; dataset=wiki_rand_iv_192; epochs=500; batch_size=500; ds_max_size=30000;
4a73f42ed2234208be7aac3c547b99c5: model=rnn; dataset=wiki_rand_iv_256; epochs=500; batch_size=500; ds_max_size=30000;
a075d2ee985441789275bb7279df5d8c: model=lstm; dataset=wiki_192_rc; epochs=500; batch_size=500; ds_max_size=30000;
e41613eaf21f4946812158789e2b4225: model=lstm; dataset=wiki_128_rc; epochs=500; batch_size=500; ds_max_size=30000;
e288d865c58e4c7daac9ca434165035f: model=lstm; dataset=wiki_256_rc; epochs=500; batch_size=500; ds_max_size=30000;
